# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.000 us    |                      random_get_entropy_fallback();
 0)   0.000 us    |                      fast_mix();
 0) + 30.518 us   |                    }
 0)   0.000 us    |                    note_interrupt();
 0) ! 427.246 us  |                  }
 0)               |                  _raw_spin_lock() {
 0)   0.000 us    |                    preempt_count_add();
 0)   0.000 us    |                  }
 0) ! 457.764 us  |                }
 0)               |                unmask_irq.part.9() {
 0)               |                  irq_gc_unmask_enable_reg() {
 0)               |                    _raw_spin_lock() {
 0)   0.000 us    |                      preempt_count_add();
 0)   0.000 us    |                    }
 0)   0.000 us    |                    arm_heavy_mb();
 0)               |                    _raw_spin_unlock() {
 0)   0.000 us    |                      preempt_count_sub();
 0) + 30.517 us   |                    }
 0) + 61.035 us   |                  }
 0) + 61.035 us   |                }
 0)               |                _raw_spin_unlock() {
 0)   0.000 us    |                  preempt_count_sub();
 0)   0.000 us    |                }
 0) ! 640.869 us  |              }
 0) ! 671.387 us  |            }
 0)               |            irq_exit() {
 0)   0.000 us    |              preempt_count_sub();
 0)   0.000 us    |              idle_cpu();
 0)   0.000 us    |              rcu_irq_exit();
 0) + 30.517 us   |            }
 0) ! 732.421 us  |          }
 0) ! 732.421 us  |        }
 0)   <========== |
 0)   0.000 us    |        preempt_count_sub();
 0) ! 732.421 us  |      }
 0) ! 762.939 us  |    }
 0)   0.000 us    |    preempt_count_sub();
 0)               |    wq_worker_running() {
 0)   0.000 us    |      kthread_data();
 0)   0.000 us    |    }
 0) # 3570.557 us |  } /* schedule */
 0)               |  _raw_spin_lock_irq() {
 0) + 30.518 us   |    preempt_count_add();
 0) + 30.518 us   |  }
 0)               |  process_one_work() {
 0)               |    _raw_spin_unlock_irq() {
 0)   0.000 us    |      preempt_count_sub();
 0)   0.000 us    |    }
 0)               |    rpc_async_schedule() {
 0)               |      __rpc_execute() {
 0)               |        call_transmit_status() {
 0)               |          rpc_check_timeout() {
 0)   0.000 us    |            xprt_adjust_timeout();
 0)   0.000 us    |          }
 0)   0.000 us    |        }
 0)               |        call_transmit() {
 0)   0.000 us    |          xprt_prepare_transmit();
 0)               |          xprt_transmit() {
 0)               |            _raw_spin_lock() {
 0)   0.000 us    |              preempt_count_add();
 0) + 30.517 us   |            }
 0)               |            _raw_spin_unlock() {
 0)   0.000 us    |              preempt_count_sub();
 0)   0.000 us    |            }
 0)   0.000 us    |            rpcauth_xmit_need_reencode();
 0)               |            xs_tcp_send_request() {
 0)   0.000 us    |              ktime_get();
 0)               |              xs_sendpages() {
 0)               |                sock_sendmsg() {
 0)               |                  __sock_sendmsg() {
 0)               |                    security_socket_sendmsg() {
 0)               |                      apparmor_socket_sendmsg() {
 0)   0.000 us    |                        aa_sk_perm();
 0) + 30.517 us   |                      }
 0)               |                      tomoyo_socket_sendmsg() {
 0)   0.000 us    |                        tomoyo_socket_sendmsg_permission();
 0)   0.000 us    |                      }
 0) + 30.517 us   |                    }
 0)               |                    inet_sendmsg() {
 0)   0.000 us    |                      inet_send_prepare();
 0)               |                      tcp_sendmsg() {
 0)               |                        lock_sock_nested() {
 0)               |                          _raw_spin_lock_bh() {
 0)   0.000 us    |                            preempt_count_add();
 0) + 30.518 us   |                          }
 0)               |                          _raw_spin_unlock() {
 0)   0.000 us    |                            preempt_count_sub();
 0)   0.000 us    |                          }
 0)               |                          __local_bh_enable_ip() {
 0) + 30.517 us   |                            preempt_count_sub();
 0)   0.000 us    |                            preempt_count_sub();
 0) + 30.517 us   |                          }
 0) + 61.035 us   |                        }
 0)               |                        tcp_sendmsg_locked() {
 0) + 30.518 us   |                          tcp_rate_check_app_limited();
 0)               |                          tcp_send_mss() {
 0)               |                            tcp_current_mss() {
 0)   0.000 us    |                              ipv4_mtu();
 0)   0.000 us    |                              tcp_established_options();
 0)   0.000 us    |                            }
 0) + 30.517 us   |                          }
 0)               |                          sk_stream_alloc_skb() {
 0)               |                            __alloc_skb() {
 0)               |                              kmem_cache_alloc() {
 0)   0.000 us    |                                should_failslab();
 0)   0.000 us    |                                memcg_kmem_put_cache();
 0) + 30.518 us   |                              }
 0)               |                              __kmalloc_reserve.constprop.42() {
 0)               |                                __kmalloc_track_caller() {
 0)   0.000 us    |                                  kmalloc_slab();
 0) + 30.517 us   |                                  should_failslab();
 0)   0.000 us    |                                  memcg_kmem_put_cache();
 0) + 30.517 us   |                                }
 0) + 30.517 us   |                              }
 0)               |                              ksize() {
 0) + 30.518 us   |                                __ksize();
 0) + 30.518 us   |                              }
