# tracer: function
#
# entries-in-buffer/entries-written: 5981/5981   #P:1
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
     kworker/0:2-668     [000] d..2 64763.650330: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.650452: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.650574: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.650696: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.650787: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.651001: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.651123: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.651337: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.651428: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.810150: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.810242: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.970184: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=sleep next_pid=725 next_prio=120
           sleep-725     [000] d..2 64763.972351: sched_switch: prev_comm=sleep prev_pid=725 prev_prio=120 prev_state=Z ==> next_comm=set_ftrace_sche next_pid=719 next_prio=120
 set_ftrace_sche-719     [000] d..2 64763.973969: sched_switch: prev_comm=set_ftrace_sche prev_pid=719 prev_prio=120 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
